 state | character | result state
 0     | (         | 1
 1     | 0         | 2
 1     | 1         | 2
 1     | 2         | 2
 1     | 3         | 2
 1     | 4         | 2
 1     | 5         | 2
 1     | 6         | 2
 1     | 7         | 2
 1     | 8         | 2
 1     | 9         | 2
 2     | ,         | 3
 3     | 0         | 4
 3     | 1         | 4
 3     | 2         | 4
 3     | 3         | 4
 3     | 4         | 4
 3     | 5         | 4
 3     | 6         | 4
 3     | 7         | 4
 3     | 8         | 4
 3     | 9         | 4
 3     | r         | 5
 5     | e         | 6
 6     | d         | 4
 4     | )         | 7
 7     | (         | 8
 8     | 0         | 9
 8     | 1         | 9
 8     | 2         | 9
 8     | 3         | 9
 8     | 4         | 9
 8     | 5         | 9
 8     | 6         | 9
 8     | 7         | 9
 8     | 8         | 9
 8     | 9         | 9
 9     | ,         | 10
 10    | 0         | 13
 10    | 1         | 13
 10    | 2         | 13
 10    | 3         | 13
 10    | 4         | 13
 10    | 5         | 13
 10    | 6         | 13
 10    | 7         | 13
 10    | 8         | 13
 10    | 9         | 13
 10    | r         | 11
 11    | e         | 12
 12    | d         | 13
 13    | )         | 14

 dead state: -1

